title,eps,date,members,rating
Death Note,TV (37 eps),        Oct 2006 - Jun 2007,"        2,780,502 members",8.63
Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),        May 2015 - May 2015,"        100,426 members",8.62
Shingeki no Kyojin Season 3,TV (12 eps),        Jul 2018 - Oct 2018,"        1,424,004 members",8.62
Yakusoku no Neverland,TV (12 eps),        Jan 2019 - Mar 2019,"        1,289,697 members",8.62
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV (12 eps),        Jan 2021 - Mar 2021,"        473,252 members",8.61
Kizumonogatari II: Nekketsu-hen,Movie (1 eps),        Aug 2016 - Aug 2016,"        325,727 members",8.61
Kimetsu no Yaiba,TV (26 eps),        Apr 2019 - Sep 2019,"        1,671,947 members",8.60
Shouwa Genroku Rakugo Shinjuu,TV (13 eps),        Jan 2016 - Apr 2016,"        233,010 members",8.60
Yojouhan Shinwa Taikei,TV (11 eps),        Apr 2010 - Jul 2010,"        325,101 members",8.60
Natsume Yuujinchou San,TV (13 eps),        Jul 2011 - Sep 2011,"        206,653 members",8.59
Fate/Zero 2nd Season,TV (12 eps),        Apr 2012 - Jun 2012,"        850,731 members",8.59
Hajime no Ippo: Rising,TV (25 eps),        Oct 2013 - Mar 2014,"        183,775 members",8.59
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),        Oct 2018 - Jul 2019,"        607,059 members",8.59
Kimi no Suizou wo Tabetai,Movie (1 eps),        Sep 2018 - Sep 2018,"        517,996 members",8.59
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie (1 eps),        Jan 2019 - Jan 2019,"        228,562 members",8.58
Natsume Yuujinchou Go,TV (11 eps),        Oct 2016 - Dec 2016,"        141,759 members",8.58
Mushishi: Hihamukage,Special (1 eps),        Jan 2014 - Jan 2014,"        109,657 members",8.57
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),        Apr 2009 - Apr 2009,"        174,077 members",8.57
Bakuman. 3rd Season,TV (25 eps),        Oct 2012 - Mar 2013,"        276,411 members",8.57
Kara no Kyoukai 5: Mujun Rasen,Movie (1 eps),        Aug 2008 - Aug 2008,"        194,168 members",8.56
Sora yori mo Tooi Basho,TV (13 eps),        Jan 2018 - Mar 2018,"        364,076 members",8.56
Yuru Camp△ Season 2,TV (13 eps),        Jan 2021 - Apr 2021,"        129,916 members",8.56
Zoku Natsume Yuujinchou,TV (13 eps),        Jan 2009 - Mar 2009,"        205,886 members",8.56
One Punch Man,TV (12 eps),        Oct 2015 - Dec 2015,"        2,285,233 members",8.55
Haikyuu!!: To the Top 2nd Season,TV (12 eps),        Oct 2020 - Dec 2020,"        434,734 members",8.55
Fruits Basket 2nd Season,TV (25 eps),        Apr 2020 - Sep 2020,"        242,898 members",8.54
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV (26 eps),        Jan 2004 - Jan 2005,"        195,160 members",8.54
One Piece,TV (? eps),        Oct 1999 - ,"        1,459,230 members",8.54
Ansatsu Kyoushitsu 2nd Season,TV (25 eps),        Jan 2016 - Jul 2016,"        978,308 members",8.53
Gintama.: Porori-hen,TV (13 eps),        Oct 2017 - Dec 2017,"        136,990 members",8.53
Holo no Graffiti,ONA (? eps),        May 2019 - ,"        27,530 members",8.53
Aria the Origination,TV (13 eps),        Jan 2008 - Apr 2008,"        100,905 members",8.52
Gintama Movie 1: Shinyaku Benizakura-hen,Movie (1 eps),        Apr 2010 - Apr 2010,"        121,623 members",8.52
Neon Genesis Evangelion: The End of Evangelion,Movie (1 eps),        Jul 1997 - Jul 1997,"        612,008 members",8.52
Slam Dunk,TV (101 eps),        Oct 1993 - Mar 1996,"        212,047 members",8.52
Uchuu Kyoudai,TV (99 eps),        Apr 2012 - Mar 2014,"        155,210 members",8.52
Rainbow: Nisha Rokubou no Shichinin,TV (26 eps),        Apr 2010 - Sep 2010,"        315,455 members",8.51
Steins;Gate 0,TV (23 eps),        Apr 2018 - Sep 2018,"        627,010 members",8.51
Tian Guan Ci Fu Special,ONA (1 eps),        Feb 2021 - Feb 2021,"        12,333 members",8.51
Gintama: The Semi-Final,Special (2 eps),        Jan 2021 - Jan 2021,"        27,366 members",8.51
Hotaru no Haka,Movie (1 eps),        Apr 1988 - Apr 1988,"        466,965 members",8.51
Chihayafuru 3,TV (24 eps),        Oct 2019 - Mar 2020,"        96,040 members",8.50
Haikyuu!!,TV (25 eps),        Apr 2014 - Sep 2014,"        1,315,280 members",8.50
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV (39 eps),        Apr 2016 - Dec 2016,"        695,186 members",8.50
Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,Movie (1 eps),        Aug 2019 - Aug 2019,"        471,350 members",8.50
Samurai Champloo,TV (26 eps),        May 2004 - Mar 2005,"        939,670 members",8.50
Shingeki no Kyojin,TV (25 eps),        Apr 2013 - Sep 2013,"        2,751,279 members",8.50
Perfect Blue,Movie (1 eps),        Feb 1998 - Feb 1998,"        427,058 members",8.49
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie (1 eps),        Apr 2013 - Apr 2013,"        465,150 members",8.49
Zoku Owarimonogatari,Movie (6 eps),        Nov 2018 - Nov 2018,"        159,477 members",8.49
Kenpuu Denki Berserk,TV (25 eps),        Oct 1997 - Apr 1998,"        449,454 members",8.49
Mo Dao Zu Shi,ONA (15 eps),        Jul 2018 - Oct 2018,"        143,475 members",8.49
Banana Fish,TV (24 eps),        Jul 2018 - Dec 2018,"        488,990 members",8.48
Mob Psycho 100,TV (12 eps),        Jul 2016 - Sep 2016,"        1,363,931 members",8.48
Nichijou,TV (26 eps),        Apr 2011 - Sep 2011,"        675,638 members",8.47
Saenai Heroine no Sodatekata Fine,Movie (1 eps),        Oct 2019 - Oct 2019,"        102,480 members",8.47
Shingeki no Kyojin Season 2,TV (12 eps),        Apr 2017 - Jun 2017,"        1,779,914 members",8.47
Mushishi Zoku Shou: Odoro no Michi,Special (1 eps),        Aug 2014 - Aug 2014,"        80,174 members",8.46
Nana,TV (47 eps),        Apr 2006 - Mar 2007,"        429,599 members",8.46
Owarimonogatari,TV (12 eps),        Oct 2015 - Dec 2015,"        373,909 members",8.46
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV (13 eps),        Jul 2020 - Sep 2020,"        709,079 members",8.46
Saiki Kusuo no Ψ-nan 2,TV (24 eps),        Jan 2018 - Jun 2018,"        394,946 members",8.46
Yuu☆Yuu☆Hakusho,TV (112 eps),        Oct 1992 - Jan 1995,"        503,657 members",8.45
Golden Kamuy 3rd Season,TV (12 eps),        Oct 2020 - Dec 2020,"        89,638 members",8.45
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie (1 eps),        Oct 2013 - Oct 2013,"        296,679 members",8.45
Gintama: Yorinuki Gintama-san on Theater 2D,Movie (2 eps),        Aug 2012 - Aug 2012,"        33,332 members",8.44
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV (24 eps),        Jan 2015 - Jun 2015,"        700,669 members",8.44
Koukaku Kidoutai: Stand Alone Complex,TV (26 eps),        Oct 2002 - Oct 2003,"        333,549 members",8.44
Major S5,TV (25 eps),        Jan 2009 - Jun 2009,"        58,974 members",8.44
Saiki Kusuo no Ψ-nan,TV (120 eps),        Jul 2016 - Dec 2016,"        670,116 members",8.44
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie (1 eps),        Feb 2018 - Feb 2018,"        270,169 members",8.44
Vivy: Fluorite Eye's Song,TV (13 eps),        Apr 2021 - ,"        138,944 members",8.43
