title,eps,date,members,rating
World Trigger 3rd Season,TV (? eps),        Oct 2021 - ,"        17,717 members",N/A
Machikado Mazoku 2nd Season,TV (? eps),         - ,"        17,451 members",N/A
Cider no You ni Kotoba ga Wakiagaru,Movie (1 eps),        Jul 2021 - Jul 2021,"        17,085 members",N/A
Shuumatsu no Harem,TV (? eps),        2021 - ,"        16,220 members",N/A
Dr. Stone (Zoku-hen),Unknown (? eps),         - ,"        16,069 members",N/A
Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo,Movie (1 eps),        2021 - 2021,"        15,731 members",N/A
Cyberpunk: Edgerunners,ONA (10 eps),        2022 - ,"        15,346 members",N/A
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shima",TV (? eps),        Jul 2021 - ,"        15,337 members",N/A
Kuma Kuma Kuma Bear 2nd Season,TV (? eps),         - ,"        15,256 members",N/A
Kakushigoto Movie,Movie (1 eps),        Jul 2021 - Jul 2021,"        15,107 members",N/A
86 2nd Season,TV (? eps),         - ,"        15,067 members",N/A
Bokutachi no Remake,TV (? eps),        Jul 2021 - ,"        14,862 members",N/A
Blue Period,TV (? eps),        Oct 2021 - ,"        14,805 members",N/A
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e",TV (? eps),         - ,"        14,740 members",N/A
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,TV (? eps),        Jul 2021 - ,"        14,681 members",N/A
Hibike! Euphonium: Kumiko 3 Nensei-hen,Unknown (? eps),         - ,"        14,069 members",N/A
Mieruko-chan,TV (? eps),        2021 - ,"        14,067 members",N/A
Love Live! Superstar!!,TV (? eps),        Jul 2021 - ,"        13,563 members",N/A
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",TV (? eps),        Jul 2021 - ,"        13,236 members",N/A
Akira (Shin Anime),Unknown (? eps),         - ,"        12,600 members",N/A
Hanma Baki: Son of Ogre,ONA (? eps),        2021 - 2021,"        12,154 members",N/A
Peach Boy Riverside,TV (? eps),        Jul 2021 - ,"        12,029 members",N/A
Tsuki ga Michibiku Isekai Douchuu,TV (? eps),        Jul 2021 - ,"        11,976 members",N/A
Xian Wang de Richang Shenghuo 2nd Season,ONA (? eps),        2021 - ,"        11,827 members",N/A
Inferno Cop 2nd Season,ONA (? eps),         - ,"        11,763 members",N/A
Kakkou no Iinazuke,TV (? eps),        2022 - ,"        11,652 members",N/A
Seirei Gensouki,TV (? eps),        Jul 2021 - ,"        11,437 members",N/A
Shiroi Suna no Aquatope,TV (? eps),        Jul 2021 - ,"        11,394 members",N/A
Shika no Ou: Yuna to Yakusoku no Tabi,Movie (1 eps),        Sep 2021 - Sep 2021,"        11,288 members",N/A
Vanitas no Carte,TV (? eps),        Jul 2021 - ,"        11,056 members",N/A
Aggressive Retsuko (ONA) 4th Season,ONA (? eps),         - ,"        10,684 members",N/A
Jaku-Chara Tomozaki-kun OVA,OVA (2 eps),        May 2021 - Jun 2021,"        10,601 members",N/A
Meikyuu Black Company,TV (? eps),        Jul 2021 - ,"        10,387 members",N/A
Soredemo Ayumu wa Yosetekuru,TV (? eps),        2022 - ,"        10,004 members",N/A
Nijuuseiki Denki Mokuroku,Unknown (? eps),         - ,"        9,893 members",N/A
Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,TV (? eps),        Oct 2021 - ,"        9,766 members",N/A
Mirai Arise,Unknown (? eps),         - ,"        9,577 members",N/A
Blade Runner: Black Lotus,TV (13 eps),        2021 - ,"        8,928 members",N/A
Dakaretai Otoko 1-i ni Odosarete Imasu. Movie: Spain-hen,Movie (1 eps),        2021 - 2021,"        8,864 members",N/A
Shinigami Bocchan to Kuro Maid,TV (? eps),        Jul 2021 - ,"        8,818 members",N/A
Senpai ga Uzai Kouhai no Hanashi,TV (? eps),        Oct 2021 - ,"        8,339 members",N/A
Tokyo Mew Mew New ♡,TV (? eps),        2022 - ,"        8,337 members",N/A
Koukyoushihen Eureka Seven Hi-Evolution 3: Eureka,Movie (1 eps),        2021 - 2021,"        8,141 members",N/A
Ane Naru Mono,OVA (? eps),         - ,"        8,121 members",N/A
Kaginado,TV (? eps),        Oct 2021 - ,"        8,041 members",N/A
Megami-ryou no Ryoubo-kun.,TV (? eps),        Jul 2021 - ,"        7,979 members",N/A
Ryuu to Sobakasu no Hime,Movie (1 eps),        2021 - 2021,"        7,838 members",N/A
Mobile Suit Gundam: Iron-Blooded Orphans - Urðr Hunt,ONA (? eps),         - ,"        7,626 members",N/A
Uramichi Oniisan,TV (? eps),        Jul 2021 - ,"        7,588 members",N/A
Etotama: Nyankyaku Banrai,ONA (? eps),        May 2021 - May 2021,"        7,530 members",N/A
Tsurune: Kazemai Koukou Kyuudoubu Movie,Movie (1 eps),         - ,"        7,475 members",N/A
Mobile Suit Gundam: Hathaway's Flash,Movie (1 eps),        May 2021 - May 2021,"        7,243 members",N/A
Free! Movie 5: The Final Stroke,Movie (1 eps),        Apr 2022 - Apr 2022,"        7,117 members",N/A
Utawarerumono: Futari no Hakuoro,TV (? eps),         - ,"        7,054 members",N/A
To the Moon,Movie (1 eps),         - ,"        7,037 members",N/A
Night Head 2041,TV (? eps),        Jul 2021 - Jul 2021,"        6,860 members",N/A
Kenja no Deshi wo Nanoru Kenja,TV (? eps),        2021 - ,"        6,675 members",N/A
Re-Main,TV (? eps),        2021 - ,"        6,576 members",N/A
Eden (ONA),ONA (4 eps),        May 2021 - May 2021,"        6,540 members",N/A
Pluto,Unknown (? eps),         - ,"        6,533 members",N/A
Tomodachi no Imouto ga Ore ni dake Uzai,TV (? eps),         - ,"        6,522 members",N/A
Tiger & Bunny 2,TV (? eps),        2022 - ,"        6,469 members",N/A
Katsugeki/Touken Ranbu Movie,Movie (1 eps),        2021 - 2021,"        6,457 members",N/A
Shishou Series,TV (? eps),         - ,"        6,363 members",N/A
Kiniro Mosaic: Thank You!!,Movie (1 eps),        Aug 2021 - Aug 2021,"        6,233 members",N/A
Boku wa Robot-goshi no Kimi ni Koi wo Suru Movie,Movie (1 eps),         - ,"        6,233 members",N/A
Ginga Eiyuu Densetsu: Die Neue These (Zoku-hen),Unknown (24 eps),         - ,"        6,195 members",N/A
Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,TV (? eps),        2021 - ,"        6,109 members",N/A
Jigokuraku,TV (? eps),         - ,"        6,022 members",N/A
Watashi ni Tenshi ga Maiorita! (Anime Shin Project),Unknown (? eps),         - ,"        6,001 members",N/A
Tokyo Babylon 2021,TV (? eps),         - ,"        5,997 members",N/A
Ai no Utagoe wo Kikasete,Movie (1 eps),        2021 - 2021,"        5,959 members",N/A
Mainichi JK Kikaku,Unknown (? eps),         - ,"        5,798 members",N/A
Sasaki to Miyano,Unknown (? eps),         - ,"        5,697 members",N/A
Isekai Meikyuu de Harem wo,TV (? eps),         - ,"        5,601 members",N/A
Jashin-chan Dropkick 3rd Season,Unknown (? eps),        2022 - ,"        5,458 members",N/A
Aoki Uru,Movie (1 eps),         - ,"        5,434 members",N/A
Totsukuni no Shoujo OVA,OVA (1 eps),        Mar 2022 - Mar 2022,"        5,409 members",N/A
Saezuru Tori wa Habatakanai: The Storm Breaks,Movie (1 eps),         - ,"        5,308 members",N/A
Sacks&Guns!!,TV (? eps),        Oct 2021 - ,"        5,273 members",N/A
Jahy-sama wa Kujikenai!,TV (? eps),        Jul 2021 - ,"        5,270 members",N/A
Kage no Jitsuryokusha ni Naritakute!,TV (? eps),         - ,"        5,017 members",N/A
Re:cycle of the Penguindrum,Movie (1 eps),         - ,"        5,002 members",N/A
Muv-Luv Alternative,TV (? eps),        Oct 2021 - ,"        4,964 members",N/A
Kawaii dake ja Nai Shikimori-san,TV (? eps),         - ,"        4,890 members",N/A
Girls & Panzer: Saishuushou Part 4,Movie (1 eps),         - ,"        4,788 members",N/A
Baraou no Souretsu,TV (? eps),        Oct 2021 - ,"        4,741 members",N/A
Cencoroll 3,Movie (1 eps),         - ,"        4,694 members",N/A
Sayonara Watashi no Cramer Movie: First Touch,Movie (1 eps),        Jun 2021 - Jun 2021,"        4,632 members",N/A
Dolls' Frontline,TV (? eps),        2021 - ,"        4,621 members",N/A
